Title,Date,Ongoing End Date,Time,End Time,Setup Time,Takedown Time,Library,Location,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Last Modified,Description,Additional Information,Internal Notes,Presenter,Contact Name,Contact Email,Contact Phone,Registration Required,PR Detail,Published Status,Attendance,Registered,Waiting List,Cancelled List,Shared Attendance,Optional Statistical Input 1,Optional Statistical Input 2,Optional Statistical Input 3,Optional Statistical Input 4
ESL Classes,1/5/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,12/5/2014 13:14,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Cantonese Book Club,1/5/2014,,1:30 PM,3:00 PM,1:30 PM,3:00 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,00-Book Clubs & Writers Groups,,Adult,Older Adult,Teen,4/5/2014 16:26,"Join fellow book lovers to discuss contemporary Chinese literature once a month in a relaxing manner at Agincourt Branch. First Thursday of each month, March to December from 1:30 p.m. - 3:00 p.m. For more information and to register call 416-396-8950. Registration is required. Location: Multipurpose room",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Babytime,1/5/2014,,2:00 PM,2:30 PM,2:00 PM,2:30 PM,Agincourt,Children's Department,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,,Pre-School Children,,,4/5/2014 16:26,"Babies 0-12 months and their caregivers enjoy bouncing and tickling rhymes, songs and stories.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Henna Art for Teens,1/5/2014,,4:00 PM,5:30 PM,3:45 PM,5:45 PM,Downsview,Program Room,01-Asian Heritage Month,,,Teen,,,9/5/2014 16:53,"Learn about the amazing art of henna and how it is as popular today as it was thousands of years ago. Get a free, safe, temporary henna tattoo by a henna artist on your hand that will last for weeks! Ages 14-18. Space is limited. For inquiries and registrations please call 416-395-5720 or e-mail us at: doyag@torontopubliclibrary.ca",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Call of Gamers: Teen Video Game Nights,1/5/2014,,6:15 PM,7:45 PM,6:15 PM,7:45 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,School-Age Children,,12/5/2014 13:14,"Join Malvern's Youth Advisory Group for a night of fun and video games including games for Wii, PS3 and XBox 360. No registration required, just drop-in and get your game on!",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Settlement Services,2/5/2014,,9:00 AM,12:30 PM,9:00 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,12/5/2014 13:14,"Settlement services, including help with immigration documents, health care, access to education and free access to Commissioner of Oaths service are available during this time period. If you are interested in English Conversation Group, please call Mohamed at 416-757-7010 for more information. This program is co-sponsored with Catholic Crosscultural Services (CCS).",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Everyday English for Mandarin Speaking Seniors,2/5/2014,,10:00 AM,12:00 PM,10:00 AM,12:00 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,,,Older Adult,,,5/5/2014 10:05,This program is for Mandarin speaking seniors to learn everyday English and information on Canadian culture offered by Carefirst Seniors Group. To register please call Bo Hong 416-502-2323 ext. 6237.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,2/5/2014,,10:30 AM,11:15 AM,10:15 AM,11:30 AM,Evelyn Gregory,Auditorium,01-Ready for Reading Storytimes,,,All Children,,,7/6/2014 11:32,"Stories, songs and rhymes for children 5 and under and their caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Baby Time,2/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Maryvale,Meeting Room,01-Ready for Reading Storytimes,,,Pre-School Children,,,26/05/2014 1:29:41 PM,"Bouncing and tickling rhymes, songs and stories for babies from birth to 18 months. Limited to 20 children and parents/caregivers. Registration starts Monday, March 24th.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,2/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,8/5/2014 17:24,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
